epoch,goal_achieved
572,"[False, False, True, True, True]"
573,"[True, True, False, False, False]"
574,"[False, False, False, True, False]"
575,"[True, False, True, True, True]"
576,"[True, False, False, True, False]"
577,"[True, True, True, True, True]"
578,"[True, True, True, True, True]"
579,"[True, True, True, True, True]"
580,"[False, True, False, True, True]"
581,"[True, True, True, True, True]"
582,"[True, False, True, False, True]"
583,"[False, True, True, False, True]"
584,"[True, True, True, True, True]"
585,"[False, False, True, True, True]"
586,"[True, True, False, True, True]"
587,"[True, True, False, True, True]"
588,"[True, True, True, False, True]"
589,"[True, False, True, False, True]"
590,"[False, True, True, True, False]"
591,"[True, False, True, True, True]"
592,"[False, True, True, True, True]"
593,"[True, True, True, True, True]"
594,"[True, True, True, True, True]"
595,"[True, True, False, True, False]"
596,"[True, True, True, True, True]"
597,"[True, False, False, True, True]"
598,"[False, True, False, False, True]"
599,"[True, True, True, True, False]"
600,"[False, False, True, True, True]"
601,"[True, False, True, True, True]"
602,"[False, True, True, False, False]"
603,"[True, True, True, True, True]"
604,"[True, False, False, True, True]"
605,"[True, False, False, True, False]"
606,"[True, True, False, True, True]"
607,"[True, True, True, True, True]"
608,"[True, False, True, True, True]"
609,"[True, True, False, False, True]"
610,"[False, False, True, False, True]"
611,"[False, True, False, False, True]"
612,"[False, True, True, True, False]"
613,"[True, True, True, False, True]"
614,"[False, True, True, False, True]"
615,"[True, True, True, True, True]"
616,"[True, True, True, True, False]"
617,"[True, True, True, True, True]"
618,"[True, True, True, True, True]"
619,"[True, True, True, True, True]"
620,"[True, True, False, True, False]"
621,"[True, True, True, True, True]"
622,"[False, True, True, False, False]"
623,"[True, False, False, True, False]"
624,"[True, True, True, False, True]"
625,"[True, False, True, True, True]"
626,"[True, False, True, True, True]"
627,"[False, True, True, False, True]"
628,"[False, True, False, True, False]"
629,"[True, True, False, True, True]"
630,"[False, True, True, True, False]"
631,"[True, False, True, True, True]"
632,"[True, False, True, False, False]"
633,"[False, True, True, False, True]"
634,"[False, True, True, True, False]"
635,"[True, True, True, False, True]"
636,"[True, True, True, True, True]"
637,"[False, True, True, True, True]"
638,"[True, True, True, False, True]"
639,"[True, True, False, True, True]"
640,"[False, True, False, True, True]"
641,"[False, True, True, True, True]"
642,"[True, True, True, True, False]"
643,"[True, True, True, True, True]"
644,"[True, False, False, True, True]"
645,"[True, True, True, True, True]"
646,"[True, False, False, True, True]"
647,"[True, True, True, False, True]"
648,"[True, True, True, True, False]"
649,"[True, True, True, True, True]"
650,"[True, True, True, True, True]"
651,"[True, True, False, True, True]"
652,"[True, True, True, True, True]"
653,"[False, False, True, True, True]"
654,"[False, True, True, False, True]"
655,"[True, True, False, True, False]"
656,"[True, True, False, True, True]"
657,"[False, True, True, True, True]"
658,"[True, True, True, True, True]"
659,"[True, False, True, True, True]"
660,"[False, True, False, True, True]"
661,"[True, True, True, True, False]"
662,"[False, True, False, True, True]"
663,"[False, False, True, True, True]"
664,"[True, True, False, True, True]"
665,"[False, True, True, False, True]"
666,"[False, True, True, False, True]"
667,"[True, True, True, True, True]"
668,"[True, True, True, False, False]"
669,"[False, True, True, True, True]"
670,"[True, True, True, True, True]"
671,"[True, True, True, True, True]"
672,"[True, True, True, False, False]"
673,"[True, True, True, True, False]"
674,"[True, True, True, True, True]"
675,"[True, True, False, True, True]"
676,"[True, True, True, True, True]"
677,"[True, True, False, False, True]"
678,"[True, True, True, True, False]"
679,"[True, True, True, True, False]"
680,"[False, True, True, True, True]"
681,"[True, True, False, True, True]"
682,"[True, False, False, False, True]"
683,"[True, False, True, True, True]"
684,"[True, True, False, True, True]"
685,"[False, False, True, True, True]"
686,"[False, False, True, True, True]"
687,"[False, True, False, True, True]"
688,"[True, True, True, False, True]"
689,"[False, True, True, True, True]"
690,"[False, True, True, False, True]"
691,"[False, True, False, True, False]"
692,"[True, True, False, False, False]"
693,"[True, True, True, False, False]"
694,"[True, True, True, True, True]"
695,"[True, True, False, True, True]"
696,"[True, True, True, False, True]"
697,"[False, True, True, True, True]"
698,"[True, True, True, False, False]"
699,"[False, True, True, False, False]"
700,"[True, True, True, True, True]"
701,"[True, True, True, True, True]"
702,"[True, True, True, True, True]"
703,"[True, True, True, True, True]"
704,"[True, True, False, True, False]"
705,"[False, True, False, True, True]"
706,"[False, True, False, True, True]"
707,"[True, False, True, True, True]"
708,"[True, True, True, True, True]"
709,"[True, False, True, True, True]"
710,"[True, True, True, False, True]"
711,"[True, True, False, True, True]"
712,"[False, True, True, False, True]"
713,"[True, True, True, True, True]"
714,"[True, True, True, True, True]"
715,"[True, False, True, True, True]"
